0,1,2,3,4
한과채,서울 종로구 인사동10길 13,채식뷔페,월~토 11:30 ~ 20:30 · 브레이크타임 월~토 14:30 ~ 17:00,02-720-2802
만채우,서울 종로구 인사동11길 24 서울중앙교회 지하 1층,채식뷔페,영업시간 월~금 11:30 ~ 15:00,
테스패뉴,서울 중구 무교로 21 코오롱빌딩 1층,채식뷔페,,
적수방,서울 중구 동호로24길 7-6 불광산사 지하2층,채식뷔페,영업시간 월~토 11:30 ~ 14:30,02-2276-0993
투고샐러드건대중문점,서울 광진구 능동로13길 34,채식뷔페,월~토 11:00 ~ 21:30 · 브레이크타임 월~토 15:00 ~ 16:00,02-499-6787
비비샐러드,서울 영등포구 국회대로70길 22,채식뷔페,월~금 07:00 ~ 20:00 · 브레이크타임 월~금 14:00 ~ 16:00,
셀럽드샐러드(CELEBDESALAD),서울 성동구 왕십리로16가길 20,채식뷔페,,02-497-4142
집밥,서울 동대문구 망우로18가길 3 태영빌딩 2층,채식뷔페,,02-455-2511
프리가 전경련점,서울 영등포구 여의대로 24 전경련회관 지하1층,채식뷔페,매일 11:00 ~ 21:00 · 브레이크타임 월~금 14:00 ~ 17:00,02-3775-1620
시골건강채식식당,서울 중랑구 동일로 917-4,채식뷔페,,
샐러드로우 역삼점,서울 강남구 논현로95길 30,채식뷔페,,02-2051-6868
올리브그린뷔페,서울 영등포구 문래로 164 SK리더스뷰 2층,채식뷔페,,
베지그린,서울 강남구 개포로20길 24-10 1층,채식뷔페,매일 14:30 ~ 18:00,02-577-6316
샐러드랍,경기 구리시 체육관로161번길 13,채식뷔페,매일 10:30 ~ 20:00,031-558-7800
샐러드바,서울 강서구 공항대로 426,채식뷔페,,
싱샐러드,서울 송파구 송파대로28길 27,채식뷔페,,070-7756-4490
아메리칸트레이 부천점,경기 부천시 석천로177번길 11,채식뷔페,매일 09:00 ~ 21:00,032-322-4170
샐러드보울,경기 의왕시 덕장로 78,채식뷔페,,031-424-3882
수샐러드,경기 고양시 덕양구 화정로 52 세이브존 8층,채식뷔페,,
에바스팩토리,경기 안양시 동안구 시민대로 230,채식뷔페,,031-388-7020
스윗치,경기 고양시 일산동구 무궁화로141번길 7-17,채식뷔페,,070-8865-0466
뜰안채채식뷔페,경기 용인시 기흥구 용구대로2335번길 25,채식뷔페,매일 15:00 ~ 18:00,031-281-5879
삼시세끼한식뷔페,인천 남동구 예술로 230,채식뷔페,,032-883-1801
보타닉키친,인천 남동구 서창남로 16-34,채식뷔페,,032-466-5637
샐러투데이X오늘도한잔,경기 파주시 가람로 6,채식뷔페,,031-945-4695
뜰안채채식뷔페,경기 수원시 권선구 칠보로88번길 125,채식뷔페,매일 15:00 ~ 18:00,031-291-5879
피그팩토리,경기 수원시 팔달구 경수대로718번길 36,채식뷔페,,031-243-8216
오를레,인천 연수구 센트럴로 194,채식뷔페,,
