0,1,2,3,4,5
한국채식연합,서울 마포구 고산16길 49-4,환경단체,,02-707-3590,
채식은복이다,서울 중구 다산로46길 17,중화요리,,,
시골건강채식식당,서울 중랑구 동일로 917-4,채식뷔페,,,
뜰안채채식뷔페,경기 용인시 기흥구 용구대로2335번길 25,채식뷔페,영업시간 매일 12:00 ~ 21:00 · 브레이크타임 매일 15:00 ~ 18:00,,
031-281-5879,로비건채식요리학원,서울 서초구 양재천로21길 3,요리학원,,
뜰안채채식뷔페,경기 수원시 권선구 칠보로88번길 125,채식뷔페,영업시간 매일 12:00 ~ 21:00 · 브레이크타임 매일 15:00 ~ 18:00,031-291-5879,
한국채식비건협회,서울 송파구 송파대로 201 B동 606호,"단체,협회",,02-2135-1933,
채식나라농업회사법인,경기 하남시 조정대로 45 FB325호,식품,,,
채식쿠킹연구소,경기 포천시 가산면 마전길 237-1,"교육,학문",,031-543-4047,
채식명가명품주유소,충남 아산시 영인면 아산로 854,S-oil주유소,,041-543-5159,
빛가람채식뷔페,충북 충주시 안림로 256,채식뷔페,영업시간 매일 11:30 ~ 15:00,043-842-3333,
생명사랑채식수련원,강원 영월군 무릉도원면 도원운학로 202-33,교육단체,,,
채식부페채식사랑,대전 서구 둔산로 18,채식뷔페,,,
풀꽃세상채식뷔페,전북 전주시 완산구 우림로 1036-13,채식뷔페,영업시간 매일 11:30 ~ 21:00 · 브레이크타임 월~금 15:00 ~ 17:00,063-221-4432,
미쁨채식부페,전북 완주군 소양면 전진로 907,채식뷔페,,063-245-3789,
소쇄원채식뷔페,전남 담양군 가사문학면 지실길 103,채식뷔페,영업시간 화~일 11:30 ~ 15:30,061-383-5255,
진홍채식이샤브,대구 달서구 두류공원로 262,샤브샤브,,053-653-6633,
살림채식뷔페,광주 남구 서문대로 813 삼육빌딩 1층,채식뷔페,,062-675-3553,
자연생활채식부페,전북 정읍시 동부1길 74,뷔페,,063-533-2114,
금강자연비건채식도시락,대구 달성군 현풍읍 테크노중앙대로5길 33-19,도시락,,,
즐거운채식,광주 서구 매월2로15번길 16,식품,,,
자연채식뷔페신라,경북 경주시 영불로 217,채식뷔페,,054-772-0014,
첫번채식당,경남 고성군 거류면 거류로 618,"해물,생선",,055-672-2450,
채식카페 작은부엌,제주특별자치도 제주시 조천읍 선흘동2길 1,한식,영업시간 화~토 10:00 ~ 15:00,010-4699-3179,
경주자연건강 단식채식생활관,경북 경주시 양북면 범곡리 563,단식원,,054-745-2294,
채식식당 푸른솔맑은향,제주특별자치도 제주시 고사마루길 125,한식,"영업시간 월,수,목,금,토 11:30 ~ 20:00",064-749-9935,
밥브레드,경기 고양시 일산동구 일산로380번길 5-20 1층,"제과,베이커리",영업시간 월~토 09:00 ~ 21:00,010-5412-5053,
알키미아,경기 고양시 일산동구 일산로463번길 23-16,아이스크림,,010-2355-7672,
올리코,경기 고양시 일산서구 호수로856번길 7-16,이탈리안,영업시간 화~금 11:30 ~ 22:00 · 브레이크타임 화~일 15:00 ~ 17:00,031-913-1324,
진저앤트리클,경기 고양시 일산동구 일산로441번길 41-17,양식,"영업시간 월,수,목,금,토,일 12:00 ~ 15:00",010-4104-7514,
코미치 홍대점,서울 마포구 와우산로29길 4-13,일식,영업시간 매일 11:30 ~ 21:30,070-4001-1291,
펠앤콜 홍대본점,서울 마포구 와우산로 39-21,아이스크림,"영업시간 월,화,수,목,금,일 12:00 ~ 21:00",070-4411-1434,
공작,서울 마포구 희우정로12길 23 동광펠리스 101호,"호프,요리주점",,070-8876-0404,
샐러디 마곡발산역점,서울 강서구 공항대로 269-15 힐스테이트에코마곡 1층 104호,패스트푸드,영업시간 월~금 08:00 ~ 21:00,02-2643-9143,
사직동그가게,서울 종로구 사직로9길 18,카페,영업시간 화~일 11:30 ~ 20:00,070-4045-6331,
아필립,서울 마포구 성미산로 191,술집,매일 18:00 ~ 05:00,,
쌈잇쌈,서울 마포구 와우산로15길 28 2층,동남아음식,,,
카페라그린,서울 중구 정동길 26 1층,카페,영업시간 월~토 11:00 ~ 20:00,02-3789-8005,
죠티인도레스토랑 신촌점,서울 마포구 신촌로20길 6,인도음식,영업시간 매일 11:30 ~ 22:30,02-703-3535,
올어바웃어스,서울 마포구 연남로3길 13 2층,카페,영업시간 화~일 13:00 ~ 22:00,,
카사블랑카,서울 용산구 신흥로 35 1층,샌드위치,영업시간 화~일 12:00 ~ 22:00,02-797-8367,
박명도봉평메밀막국수 본점,서울 용산구 원효로 184,국수,영업시간 매일 10:00 ~ 22:00,02-717-7711,
빵어니스타 여의도점,서울 영등포구 국제금융로8길 16 지하1층 B129호,"제과,베이커리",영업시간 매일 12:00 ~ 20:00,,
한상훈셰프,서울 중구 소공로 29,양식,영업시간 월~토 11:00 ~ 22:00,02-771-1808,
더닐크팩토리 가로수길지점,서울 강남구 강남대로162길 32 나라빌딩 1층,디저트카페,영업시간 매일 11:00 ~ 22:00,02-2039-0821,
펭귄키친,서울 강서구 마곡중앙2로 35 3층 322호,"제과,베이커리",,,
놉스,서울 은평구 연서로 455 541동 1층 104호,"제과,베이커리",영업시간 수~일 10:00 ~ 19:00,070-8809-9022,
대구집,서울 성동구 살곶이길 40,"육류,고기",매일 11:30 ~ 02:00,02-2294-6349,
타지 명동점,서울 중구 명동길 73,인도음식,영업시간 매일 12:00 ~ 22:00 · 브레이크타임 월~금 15:00 ~ 17:30,02-776-0677,
그러팡야,서울 마포구 포은로 48,"제과,베이커리",,,
에코밥상,서울 종로구 사직로 127-14,한식,영업시간 월~토 11:30 ~ 22:00 · 브레이크타임 월~토 15:00 ~ 17:00,02-736-9136,
공간녹음,서울 강서구 공항대로 227 403호,양식,영업시간 월~토 11:30 ~ 22:00 · 브레이크타임 월~토 15:00 ~ 17:30,02-6953-6998,
샐러디 종로광교점,서울 종로구 청계천로 61 관철동빌딩 6층,패스트푸드,영업시간 월~금 08:00 ~ 21:00,02-6956-7996,
마을찻집 마주이야기,서울 강북구 인수봉로55길 10 2층,카페,영업시간 화~금 14:00 ~ 21:00,070-8615-6011,
아승지,서울 영등포구 신길로 176,한식,영업시간 월~금 12:00 ~ 15:00,02-836-8442,
술탄터키케밥하우스,서울 용산구 보광로 126,터키음식,매일 00:00 ~ 24:00,02-749-3890,
우리동네나무그늘,서울 마포구 백범로 113-1 2층,카페,영업시간 월~금 10:00 ~ 22:30,02-6408-5775,
그러케이크샵,서울 마포구 희우정로12길 18 1층,"제과,베이커리",,,
밥먹는술집광장,서울 중구 수표로 63-1 2층,"호프,요리주점",영업시간 월~목 13:00 ~ 23:00,,
나빈인디안레스토랑,서울 노원구 노해로 494 3층,인도음식,,02-931-1557,
정광균의순수한빵생활,서울 양천구 목동중앙남로 12 1층,"제과,베이커리",,010-6832-7752,
이세계는놀이터예요,서울 서대문구 이화여대길 88-15 1층,한식,영업시간 월~금 10:00 ~ 15:00,,
홀리차우 이태원점,서울 용산구 이태원로 179 해밀톤호텔 2층,퓨전중식,영업시간 매일 11:30 ~ 22:00,02-793-0802,
카페기웃기웃,서울 마포구 신촌로12다길 20 스테이하이오피스텔 1층,카페,영업시간 화~일 12:00 ~ 21:00,,
팡도리노베이커리,서울 중랑구 용마산로115길 127 한일써너스빌리젠시1단지 상가 1005호,"제과,베이커리",,070-8822-2738,
마히나비건테이블,서울 강남구 논현로175길 75 2층,이탈리안,영업시간 화~일 12:00 ~ 21:30 · 브레이크타임 화~일 16:00 ~ 17:30,0507-1371-5331,
브레드몽드,서울 관악구 관악로 200 1층,"제과,베이커리",,02-887-2720,
손오공마라탕 강남점,서울 강남구 강남대로102길 22 2층,중화요리,영업시간 매일 11:00 ~ 23:00,02-555-5959,
일용할양식,인천 남동구 인주대로522번길 50,양식,영업시간 월~토 11:00 ~ 21:00 · 브레이크타임 월~토 15:30 ~ 17:30,010-7383-3303,
비스포킷 광화문 D타워점,서울 종로구 종로3길 17 D타워 1층 102호,도시락,,,
알프리베,서울 관악구 남부순환로188길 9 차일드빌딩 1층,"제과,베이커리",영업시간 월~토 12:00 ~ 19:00,02-888-1317,
깔리 사당점,서울 서초구 방배천로 21 동화빌딩 4층,인도음식,영업시간 매일 11:30 ~ 22:00,,
더담백,서울 성북구 화랑로 210-6,"제과,베이커리",영업시간 수~일 11:00 ~ 20:00,02-942-0186,
알로하포케 논현점,서울 서초구 강남대로79길 22 2층,양식,영업시간 월~금 11:00 ~ 22:00,02-540-4864,
